EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,x[0],"lambda x,xdata:x[0]",[-3.91447497e-09],2.0,12.553904864768173,-2.220446049250313e-16
3,"Mul(xdata[0],x[0])","lambda x,xdata:Mul(xdata[0],x[0])",[-0.61295078],2.0,7.837294580962893,0.3757086209122213
5,"Mul(Div(xdata[0],x[0]),x[1])","lambda x,xdata:Mul(Div(xdata[0],x[0]),x[1])",[ 1.70314786 -1.04394574],7.0,7.837294580962883,0.3757086209122221
7,"Mul(Mul(xdata[0],x[0]),Pow(xdata[1],x[1]))","lambda x,xdata:Mul(Mul(xdata[0],x[0]),Pow(xdata[1],x[1]))",[-0.53205586 -0.19116754],16.0,7.685966178943142,0.3877629102867127
