EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,xdata[0],"lambda x,xdata:xdata[0]",,,9.56936970150804,0.4947434833537011
3,"Mul(xdata[0],x[0])","lambda x,xdata:Mul(xdata[0],x[0])",[0.74737174],2.0,8.360623101036895,0.558564520257089
5,"Sub(x[0],Pow(x[1],xdata[0]))","lambda x,xdata:Sub(x[0],Pow(x[1],xdata[0]))",[1.28662129 0.47475978],6.0,5.667310993598328,0.7007696535200731
7,"Mul(Div(xdata[0],x[0]),Pow(x[1],xdata[1]))","lambda x,xdata:Mul(Div(xdata[0],x[0]),Pow(x[1],xdata[1]))",[ 1.56811086 -0.69317744],11.0,5.52259212842773,0.7084107157833044
