EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,xdata[4],"lambda x,xdata:xdata[4]",,,3307.745159899689,0.59574951192873
3,"Mul(xdata[4],x[0])","lambda x,xdata:Mul(xdata[4],x[0])",[0.7978598],19.0,2973.455762903208,0.6366041259815782
5,"Add(Div(xdata[2],x[0]),xdata[4])","lambda x,xdata:Add(Div(xdata[2],x[0]),xdata[4])",[-3.58779983],22.0,2672.0867720329643,0.6734354282009234
7,"Sub(Mul(xdata[4],x[0]),Div(xdata[2],x[1]))","lambda x,xdata:Sub(Mul(xdata[4],x[0]),Div(xdata[2],x[1]))",[0.86132795 4.12501504],66.0,2525.5238392027813,0.6913473694979837
