EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,xdata[2],"lambda x,xdata:xdata[2]",,,7053.304286575126,0.7260082487302684
3,"Mul(xdata[2],x[0])","lambda x,xdata:Mul(xdata[2],x[0])",[0.86300412],3.0,6570.167488145871,0.744776118671232
5,"Mul(Pow(xdata[3],x[0]),xdata[2])","lambda x,xdata:Mul(Pow(xdata[3],x[0]),xdata[2])",[0.32515309],1.0,4453.811872784642,0.8269877967447322
7,"Sub(Pow(x[0],xdata[2]),Pow(x[1],xdata[3]))","lambda x,xdata:Sub(Pow(x[0],xdata[2]),Pow(x[1],xdata[3]))",[-1.48024721 -0.65552935],6.0,2929.018452801924,0.8862197258507556
