EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,xdata[0],"lambda x,xdata:xdata[0]",,,336.2228314419071,0.8765806379812136
3,"Mul(xdata[0],x[0])","lambda x,xdata:Mul(xdata[0],x[0])",[0.93826105],20.0,325.84873193787485,0.8803887218546856
5,"Sub(xdata[0],Mul(xdata[1],x[0]))","lambda x,xdata:Sub(xdata[0],Mul(xdata[1],x[0]))",[0.30417052],17.0,84.1791950802284,0.969099830289628
7,"Add(Add(xdata[0],x[0]),Pow(x[1],xdata[1]))","lambda x,xdata:Add(Add(xdata[0],x[0]),Pow(x[1],xdata[1]))",[-1.04965995  0.73138549],45.0,63.866400955385046,0.9765561713148811
