EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,xdata[5],"lambda x,xdata:xdata[5]",,,1611119.6906537416,0.7829911166996871
3,"Mul(xdata[5],x[0])","lambda x,xdata:Mul(xdata[5],x[0])",[0.89149559],2.0,1523712.8694207696,0.7947643305574985
5,"Mul(Pow(xdata[0],x[0]),xdata[5])","lambda x,xdata:Mul(Pow(xdata[0],x[0]),xdata[5])",[0.29261652],9.0,1153276.6620781603,0.8446600323826086
7,"Div(Mul(xdata[5],x[0]),Pow(x[1],xdata[2]))","lambda x,xdata:Div(Mul(xdata[5],x[0]),Pow(x[1],xdata[2]))",[ 0.82914773 -0.83633368],23.0,1075257.8679807847,0.8551687310731687
