EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,x[0],"lambda x,xdata:x[0]",[3.14074711e-10],12.0,10137924.766156232,1.1102230246251563e-16
3,"Mul(xdata[1],x[0])","lambda x,xdata:Mul(xdata[1],x[0])",[0.10562289],13.0,10024824.082346812,0.0111561967974933
5,"Div(x[0],Sub(xdata[1],x[1]))","lambda x,xdata:Div(x[0],Sub(xdata[1],x[1]))",[0.08894692 0.59556966],37.0,8765897.06065098,0.1353361498682194
7,"Div(Div(xdata[1],x[0]),Sub(xdata[1],x[1]))","lambda x,xdata:Div(Div(xdata[1],x[0]),Sub(xdata[1],x[1]))",[-8.65107178  0.80783123],35.0,8638511.094418248,0.1479014400208932
