EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,xdata[1],"lambda x,xdata:xdata[1]",,,40.044006358953446,0.7544532693637973
3,"Mul(xdata[1],x[0])","lambda x,xdata:Mul(xdata[1],x[0])",[0.87722663],2.0,37.585837648199366,0.7695265685953293
5,"Sub(x[0],Pow(x[1],xdata[1]))","lambda x,xdata:Sub(x[0],Pow(x[1],xdata[1]))",[ 1.24238554 -0.52923288],11.0,37.440149447897134,0.7704199173016454
7,"Mul(x[0],Sub(Div(x[1],xdata[0]),xdata[1]))","lambda x,xdata:Mul(x[0],Sub(Div(x[1],xdata[0]),xdata[1]))",[-0.88774688  0.08714867],6.0,36.11779790504102,0.7785284740526723
9,"Add(Add(Mul(xdata[1],x[0]),x[1]),Pow(xdata[1],x[2]))","lambda x,xdata:Add(Add(Mul(xdata[1],x[0]),x[1]),Pow(xdata[1],x[2]))",[ 0.8398225  -1.0642403  -0.15065125],8.0,34.50824180792773,0.7883981467791968
