EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,xdata[1],"lambda x,xdata:xdata[1]",,,2.499098427522056,0.7344757108948492
3,"Mul(xdata[1],x[0])","lambda x,xdata:Mul(xdata[1],x[0])",[0.86723785],2.0,2.333205594179156,0.7521014979210483
5,"Sub(Mul(xdata[1],x[0]),xdata[1])","lambda x,xdata:Sub(Mul(xdata[1],x[0]),xdata[1])",[1.86723785],2.0,2.333205594179156,0.7521014979210482
7,"Div(Pow(xdata[1],x[0]),Div(xdata[1],x[1]))","lambda x,xdata:Div(Pow(xdata[1],x[0]),Div(xdata[1],x[1]))",[1.89268028 0.89920591],11.0,2.313530671046531,0.7541919197789695
