EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,xdata[3],"lambda x,xdata:xdata[3]",,,0.3272039002927854,0.7153686983416585
3,"Mul(xdata[3],x[0])","lambda x,xdata:Mul(xdata[3],x[0])",[0.85768434],2.0,0.30392078228078,0.7356224428125889
5,"Mul(x[0],Add(xdata[3],xdata[2]))","lambda x,xdata:Mul(x[0],Add(xdata[3],xdata[2]))",[0.51617141],4.0,0.1461634217880119,0.8728539453193177
7,"Add(Mul(xdata[2],x[0]),Mul(xdata[3],x[1]))","lambda x,xdata:Add(Mul(xdata[2],x[0]),Mul(xdata[3],x[1]))",[0.48252163 0.54982131],9.0,0.1452216438063015,0.8736731882823983
