EquationLength,EquationStructure,EquationLambda,EquationParameters,NumericalIterations,MSE,R2
1,xdata[0],"lambda x,xdata:xdata[0]",,,336.22283144190715,0.8765806379812134
3,"Mul(xdata[0],x[0])","lambda x,xdata:Mul(xdata[0],x[0])",[0.93829031],2.0,325.8487296037296,0.8803887227114945
5,"Add(Mul(xdata[1],x[0]),xdata[0])","lambda x,xdata:Add(Mul(xdata[1],x[0]),xdata[0])",[-0.30416968],1.0,84.17919507827084,0.9690998302903464
7,"Add(Add(xdata[0],x[0]),Pow(x[1],xdata[1]))","lambda x,xdata:Add(Add(xdata[0],x[0]),Pow(x[1],xdata[1]))",[-1.04963248  0.73140215],9.0,63.86639813839019,0.9765561723489328
